name,rating,x,y,sickbed,operating_room,인공호흡기_일반,인공호흡기_조산아,인큐베이터,CRRT,ECMO,중심체온조절유도기,고압산소치료기,CT,MRI,혈관촬영기
대학병원 1,1,492,381,30,20,1,1,1,1,1,1,1,1,1,1
대학병원 2,1,779,605,21,16,1,1,1,1,1,1,1,1,1,1
부속병원 1,1,505,803,30,16,1,1,1,1,1,1,1,1,1,1
부속병원 2,1,376,345,28,19,1,1,1,1,1,1,1,1,1,1
대학병원 3,1,739,361,30,18,1,1,1,1,1,1,1,1,1,1
종합병원 1,2,803,576,12,7,1,1,0,0,1,1,0,1,1,1
종합병원 2,2,220,330,20,10,1,0,0,0,0,1,0,1,1,1
종합병원 3,2,168,471,23,11,1,0,0,0,0,1,0,1,1,1
중앙병원 1,2,823,438,11,5,1,0,0,0,0,1,1,1,1,1
중앙병원 2,2,623,455,17,13,1,1,1,0,0,1,0,1,1,1
중앙병원 3,2,421,411,16,11,1,0,0,0,0,1,0,1,1,1
제일병원 1,2,559,410,13,5,1,1,0,0,1,1,0,1,1,1
제일병원 2,2,360,795,10,11,1,0,0,0,0,1,0,1,1,1
제일병원 3,2,164,395,15,14,1,0,0,0,0,1,0,1,1,1
제일병원 4,2,379,770,17,6,1,0,0,0,0,1,0,1,1,1
의료원 1,3,504,471,15,0,1,0,0,0,0,0,0,1,0,0
의료원 2,3,374,533,11,2,1,0,1,0,0,0,0,1,0,0
의료원 3,3,598,571,15,0,1,1,0,0,0,0,0,1,0,0
연합의원 1,3,572,465,15,3,1,0,0,1,0,0,0,1,0,1
연합의원 2,3,549,437,9,1,1,1,0,0,0,0,0,1,0,1
연합의원 3,3,505,493,15,0,1,0,0,0,0,1,0,1,0,0
병원 1,3,604,498,11,4,1,0,0,0,0,0,0,1,1,0
병원 2,3,773,467,8,0,1,0,0,0,0,0,0,1,0,0
병원 3,3,129,486,15,5,1,0,0,0,1,0,0,1,0,0
병원 4,3,414,494,14,1,1,1,0,0,0,1,0,1,0,0
