symptom_name,ui_symptom_name,ktas_level,대학병원 1,대학병원 2,부속병원 1,부속병원 2,대학병원 3,종합병원 1,종합병원 2,종합병원 3,중앙병원 1,중앙병원 2,중앙병원 3,제일병원 1,제일병원 2,제일병원 3,제일병원 4,의료원 1,의료원 2,의료원 3,연합의원 1,연합의원 2,연합의원 3,병원 1,병원 2,병원 3,병원 4
신경학적_급성 의식장애,급성 의식장애 (혼수/실신),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
신경학적_급성 신경학적 이상,뇌졸중 의심 (한쪽 마비/언어장애),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
신경학적_두부 손상,머리 부상 (구토 및 의식장애 동반),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
심혈관계_심폐소생술 필요,심정지 및 무호흡 (CPR 상황),1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
심혈관계_급성 호흡곤란,급성 호흡곤란 (숨참/청색증),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
심혈관계_급성 흉통,심한 가슴 통증 (심근경색 의심),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
심혈관계_박동 이상 및 쇼크,맥박 이상 및 쇼크 상태,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
중독·대사_물질 중독,약물/알코올/화학물질 중독,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
중독·대사_급성대사장애,급성 대사장애 (간부전/신부전 등),2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
외과_급성 복증,급성 복통 (복막염/장폐색/췌장염 의심),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1
외과_광범위한 화상,중증 화상 (신체 표면 18% 이상),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
외과_관통상,칼창/관통상 (흉·복부 찔림),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
외과_개방성 다발성 골절,대퇴부/척추 또는 다발성 골절,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
외과_사지 절단 우려 혈관 손상,사지 절단 위험 외상 (혈관 손상),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
외과_다발성 외상,중증 다발성 외상 (추락/대형사고),2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
